"id","name","model","starship_class","manufacturer","cost_in_credits","length","crew","passengers","max_atmosphering_speed","hyperdrive_rating","mglt","cargo_capacity","consumables","created","edited"
1,"CR90 corvette","CR90 corvette","corvette","Corellian Engineering Corporation","3500000","150",NULL,600,950,"2","60","3000000","1 year","2014-12-10 14:20:33.369","2014-12-20 21:23:49.867"
2,"Star Destroyer","Imperial I-class Star Destroyer","Star Destroyer","Kuat Drive Yards","150000000",NULL,NULL,NULL,975,"2","60","36000000","2 years","2014-12-10 15:08:19.848","2014-12-20 21:23:49.87"
3,"Sentinel-class landing craft","Sentinel-class landing craft","landing craft","Sienar Fleet Systems, Cyngus Spaceworks","240000","38",5,75,1000,"1","70","180000","1 month","2014-12-10 15:48:00.586","2014-12-20 21:23:49.873"
4,"Death Star","DS-1 Orbital Battle Station","Deep Space Mobile Battlestation","Imperial Department of Military Research, Sienar Fleet Systems","1000000000000","120000",NULL,NULL,NULL,"4","10","1000000000000","3 years","2014-12-10 16:36:50.509","2014-12-20 21:26:24.783"
5,"Millennium Falcon","YT-1300 light freighter","Light freighter","Corellian Engineering Corporation","100000","34.37",4,6,1050,"0.5","75","100000","2 months","2014-12-10 16:59:45.094","2014-12-20 21:23:49.88"
6,"Y-wing","BTL Y-wing","assault starfighter","Koensayr Manufacturing","134999","14",2,0,NULL,"1","80","110","1 week","2014-12-12 11:00:39.817","2014-12-20 21:23:49.883"
7,"X-wing","T-65 X-wing","Starfighter","Incom Corporation","149999","12.5",1,0,1050,"1","100","110","1 week","2014-12-12 11:19:05.34","2014-12-20 21:23:49.886"
8,"TIE Advanced x1","Twin Ion Engine Advanced x1","Starfighter","Sienar Fleet Systems",NULL,"9.2",1,0,1200,"1","105","150","5 days","2014-12-12 11:21:32.991","2014-12-20 21:23:49.889"
9,"Executor","Executor-class star dreadnought","Star dreadnought","Kuat Drive Yards, Fondor Shipyards","1143350000","19000",NULL,38000,NULL,"2","40","250000000","6 years","2014-12-15 12:31:42.547","2014-12-20 21:23:49.893"
10,"Rebel transport","GR-75 medium transport","Medium transport","Gallofree Yards, Inc.",NULL,"90",6,90,650,"4","20","19000000","6 months","2014-12-15 12:34:52.264","2014-12-20 21:23:49.895"
